0	1	2
0	1	3
0	1	4
0	1	5
0	1	7
0	1	9
0	1	10
0	1	11
0	2	3
0	2	4
0	2	5
0	2	7
0	2	9
0	2	10
0	2	11
0	3	4
0	3	5
0	3	7
0	3	9
0	3	10
0	3	11
0	4	5
0	4	7
0	4	9
0	4	11
0	5	9
0	7	10
0	7	11
0	9	10
0	9	11
0	10	11
1	2	3
1	2	4
1	2	5
1	2	6
1	2	7
1	2	9
1	2	10
1	2	11
1	2	14
1	2	42
1	3	4
1	3	5
1	3	7
1	3	9
1	3	10
1	3	11
1	3	42
1	4	5
1	4	6
1	4	7
1	4	9
1	4	11
1	4	14
1	4	42
1	5	6
1	5	9
1	5	14
1	5	42
1	6	7
1	6	14
1	6	42
1	7	10
1	7	11
1	9	10
1	9	11
1	9	14
1	9	42
1	10	11
1	10	14
1	10	42
1	11	14
1	14	42
2	3	4
2	3	5
2	3	7
2	3	9
2	3	10
2	3	11
2	3	16
2	3	17
2	3	36
2	3	42
2	4	5
2	4	6
2	4	7
2	4	8
2	4	9
2	4	11
2	4	14
2	4	16
2	4	17
2	4	26
2	4	36
2	4	42
2	5	6
2	5	9
2	5	12
2	5	13
2	5	14
2	5	16
2	5	17
2	5	40
2	5	41
2	5	42
2	6	7
2	6	8
2	6	14
2	6	25
2	6	26
2	6	42
2	7	8
2	7	10
2	7	11
2	7	26
2	8	10
2	8	26
2	9	10
2	9	11
2	9	14
2	9	17
2	9	26
2	9	40
2	9	42
2	10	11
2	10	14
2	10	17
2	10	26
2	10	40
2	10	42
2	11	12
2	11	14
2	11	16
2	11	17
2	11	25
2	11	26
2	11	36
2	11	40
2	12	14
2	12	16
2	12	17
2	12	25
2	12	26
2	12	36
2	12	40
2	13	14
2	14	16
2	14	17
2	14	25
2	14	26
2	14	36
2	14	40
2	14	41
2	14	42
2	16	17
2	16	25
2	16	40
2	16	42
2	17	25
2	17	26
2	25	26
2	25	36
2	25	40
2	25	42
2	26	36
2	36	40
2	36	41
2	36	42
2	40	41
2	40	42
2	41	42
3	4	5
3	4	7
3	4	9
3	4	11
3	4	15
3	4	16
3	4	17
3	4	36
3	4	42
3	4	50
3	4	51
3	4	52
3	4	58
3	4	59
3	5	9
3	5	15
3	5	16
3	5	17
3	5	42
3	5	52
3	5	58
3	5	59
3	7	10
3	7	11
3	7	15
3	7	52
3	9	10
3	9	11
3	9	15
3	9	17
3	9	42
3	9	58
3	9	59
3	10	11
3	10	17
3	10	42
3	10	58
3	10	59
3	11	15
3	11	16
3	11	17
3	11	36
3	11	50
3	11	51
3	11	52
3	11	58
